domain_len,sld_len,subdomain_len,label_count,max_label_len,avg_label_len,total_label_ratio,per_label_ratio,digit_ratio,upper_ratio,hyphen_ratio,alpha_ratio,sld_digit_ratio,sld_alpha_ratio,entropy_full,entropy_sld,entropy_subdomain,bigram_entropy_sld,trigram_entropy_sld,bigram_entropy_full,consonant_vowel_ratio,longest_consonant_run,has_meaningful_word,unique_char_ratio,is_common_tld,is_suspicious_tld,tld_len,has_subdomain,subdomain_count,has_digits,numeric_percentage
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999,3.7004397181410926,3.3219280948873626,0.0,3.169925001442312,3.0,3.584962500721156,3.999999998,5.0,0.0,0.9999999999,1.0,0.0,3.0,0.0,0.0,0.0,0.0
15.0,12.0,0.0,2.0,12.0,7.0,0.05928853754940711,0.19047619047619047,0.0,0.0,0.07142857142346938,0.928571428505102,0.0,0.9166666665902777,3.3787834934861753,3.084962500721156,0.0,3.095795255000934,3.1219280948873624,3.3927474104487847,1.19999999976,1.0,0.0,0.7499999999375,1.0,0.0,2.0,0.0,0.0,0.0,0.0
19.0,15.0,0.0,2.0,15.0,9.0,0.07509881422924901,0.23809523809523808,0.0,0.0,0.0,0.9999999999444444,0.0,0.9999999999333333,3.4613201402110083,3.3735572622751855,0.0,3.807354922057604,3.7004397181410926,4.087462841250339,3.9999999986666666,4.0,0.0,0.7333333332844444,1.0,0.0,3.0,0.0,0.0,0.0,0.0
16.0,13.0,0.0,2.0,13.0,7.5,0.06324110671936758,0.20634920634920634,0.0,0.0,0.06666666666222222,0.9333333332711111,0.0,0.9230769230059171,3.456564762130954,3.180832987205441,0.0,3.584962500721156,3.4594316186372973,3.807354922057604,1.9999999995,3.0,0.0,0.7692307691715976,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.0,8.0,0.0,2.0,8.0,5.5,0.04743083003952569,0.12698412698412698,0.0,0.0,0.0,0.9999999999090909,0.0,0.999999999875,3.2776134368191157,2.75,0.0,2.8073549220576037,2.584962500721156,3.3219280948873626,1.6666666661111111,3.0,0.0,0.874999999890625,1.0,0.0,3.0,0.0,0.0,0.0,0.0
22.0,19.0,0.0,2.0,19.0,10.5,0.08695652173913043,0.30158730158730157,0.0,0.0,0.0,0.999999999952381,0.0,0.9999999999473684,3.7849418274376427,3.6818808028034025,0.0,4.169925001442312,4.087462841250339,4.321928094887363,2.7999999994399998,6.0,0.0,0.7368421052243768,1.0,0.0,2.0,0.0,0.0,0.0,0.0
20.0,16.0,0.0,2.0,16.0,9.5,0.07905138339920949,0.25396825396825395,0.0,0.0,0.0,0.9999999999473684,0.0,0.9999999999375,3.431623565847431,3.1556390622295662,0.0,3.906890595608519,3.807354922057604,4.169925001442312,0.999999999875,2.0,0.0,0.6249999999609375,1.0,0.0,3.0,0.0,0.0,0.0,0.0
24.0,20.0,0.0,2.0,20.0,11.5,0.09486166007905138,0.31746031746031744,0.0,0.0,0.0,0.9999999999565218,0.0,0.99999999995,3.5840123702119344,3.6219280948873624,0.0,4.247927513443585,4.169925001442312,4.277613436819116,1.2222222220864198,2.0,0.0,0.699999999965,1.0,0.0,3.0,0.0,0.0,0.0,0.0
17.0,13.0,0.0,2.0,13.0,8.0,0.06719367588932806,0.20634920634920634,0.0,0.0,0.0,0.9999999999375,0.0,0.9999999999230769,3.452819531114783,3.238901256602631,0.0,3.584962500721156,3.4594316186372973,3.906890595608519,5.49999999725,5.0,0.0,0.7692307691715976,1.0,0.0,3.0,0.0,0.0,0.0,0.0
28.0,24.0,0.0,2.0,24.0,13.5,0.11067193675889328,0.38095238095238093,0.0,0.0,0.0,0.999999999962963,0.0,0.9999999999583333,3.6339740759971573,3.6053885422075336,0.0,4.436605434317883,4.459431618637297,4.623516641218015,1.6666666664814815,3.0,0.0,0.5833333333090278,1.0,0.0,3.0,0.0,0.0,0.0,0.0
21.0,18.0,0.0,2.0,18.0,10.0,0.08300395256916997,0.2857142857142857,0.099999999995,0.0,0.0,0.899999999955,0.11111111110493826,0.8888888888395061,3.9219280948873627,3.8365916681089787,0.0,4.087462841250339,4.0,4.247927513443585,2.99999999925,4.0,0.0,0.8333333332870371,1.0,0.0,2.0,0.0,0.0,1.0,0.0952380952335601
14.0,3.0,7.0,3.0,7.0,4.0,0.05533596837944664,0.1111111111111111,0.0,0.0,0.0,0.9999999999166667,0.0,0.9999999996666666,3.084962500721156,1.584962500721156,2.521640636343318,1.0,-0.0,3.4594316186372973,1.9999999979999998,1.0,0.0,0.9999999996666666,1.0,0.0,2.0,1.0,1.0,0.0,0.0
10.0,7.0,0.0,2.0,7.0,4.5,0.039525691699604744,0.1111111111111111,0.0,0.0,0.0,0.9999999998888889,0.0,0.9999999998571428,2.94770277922009,2.8073549220576037,0.0,2.584962500721156,2.321928094887362,3.0,5.9999999939999995,6.0,0.0,0.9999999998571428,1.0,0.0,2.0,0.0,0.0,0.0,0.0
19.0,15.0,0.0,2.0,15.0,9.0,0.07509881422924901,0.23809523809523808,0.0,0.0,0.0,0.9999999999444444,0.0,0.9999999999333333,3.3921472236645345,3.106890595608519,0.0,3.6644977792004614,3.7004397181410926,3.9698157824268097,13.999999985999999,12.0,0.0,0.6666666666222222,1.0,0.0,3.0,0.0,0.0,0.0,0.0
22.0,18.0,0.0,2.0,18.0,10.5,0.08695652173913043,0.2857142857142857,0.0,0.0,0.0,0.999999999952381,0.0,0.9999999999444444,3.916126946588284,3.8365916681089787,0.0,4.087462841250339,4.0,4.321928094887363,4.999999998333333,8.0,0.0,0.8333333332870371,1.0,0.0,3.0,0.0,0.0,0.0,0.0
19.0,15.0,0.0,2.0,15.0,9.0,0.07509881422924901,0.23809523809523808,0.0,0.0,0.0,0.9999999999444444,0.0,0.9999999999333333,3.5724312513221195,3.1898980954642875,0.0,3.807354922057604,3.7004397181410926,4.087462841250339,6.49999999675,7.0,0.0,0.6666666666222222,1.0,1.0,3.0,0.0,0.0,0.0,0.0
24.0,20.0,0.0,2.0,20.0,11.5,0.09486166007905138,0.31746031746031744,0.0,0.0,0.0,0.9999999999565218,0.0,0.99999999995,3.936180434129755,3.8841837197791893,0.0,4.247927513443585,4.169925001442312,4.3685225277282065,2.3333333329444446,5.0,0.0,0.79999999996,1.0,0.0,3.0,0.0,0.0,0.0,0.0
