domain_len,sld_len,subdomain_len,label_count,max_label_len,avg_label_len,total_label_ratio,per_label_ratio,digit_ratio,upper_ratio,hyphen_ratio,alpha_ratio,sld_digit_ratio,sld_alpha_ratio,entropy_full,entropy_sld,entropy_subdomain,bigram_entropy_sld,trigram_entropy_sld,bigram_entropy_full,consonant_vowel_ratio,longest_consonant_run,has_meaningful_word,unique_char_ratio,is_common_tld,is_suspicious_tld,tld_len,has_subdomain,subdomain_count,has_digits,numeric_percentage
10.0,7.0,0.0,2.0,7.0,4.5,0.039525691699604744,0.1111111111111111,0.0,0.0,0.0,0.9999999998888889,0.0,0.9999999998571428,2.197159723424149,2.2359263506290326,0.0,2.584962500721156,2.321928094887362,2.75,2.49999999875,2.0,0.0,0.7142857141836735,1.0,0.0,2.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999,3.3927474104487847,2.9219280948873623,0.0,2.94770277922009,3.0,3.4182958340544896,2.3333333325555556,4.0,1.0,0.79999999992,1.0,0.0,3.0,0.0,0.0,0.0,0.0
9.0,6.0,0.0,2.0,6.0,4.0,0.03557312252964427,0.09523809523809523,0.0,0.0,0.0,0.999999999875,0.0,0.9999999998333333,2.75,2.584962500721156,0.0,2.321928094887362,2.0,2.8073549220576037,1.999999999,2.0,0.0,0.9999999998333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.0,6.0,9.0,3.0,9.0,6.0,0.07905138339920949,0.14285714285714285,0.11111111110493826,0.0,0.0,0.8888888888395061,0.0,0.9999999998333333,3.4613201402110083,2.584962500721156,2.725480556997868,2.321928094887362,2.0,4.087462841250339,4.999999995,4.0,0.0,0.9999999998333333,1.0,0.0,3.0,1.0,1.0,1.0,0.099999999995
16.0,12.0,0.0,2.0,12.0,7.5,0.06324110671936758,0.19047619047619047,0.0,0.0,0.0,0.9999999999333333,0.0,0.9999999999166667,2.7898980954642876,2.6258145836939115,0.0,3.4594316186372973,3.3219280948873626,3.6644977792004614,2.999999999,4.0,0.0,0.5833333332847223,1.0,0.0,3.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.07692307691715976,0.0,0.0,0.9230769230059171,0.09999999999,0.89999999991,3.7004397181410926,3.3219280948873626,0.0,3.169925001442312,3.0,3.584962500721156,1.9999999993333333,2.0,0.0,0.9999999999,1.0,0.0,3.0,0.0,0.0,1.0,0.07142857142346938
16.0,11.0,0.0,2.0,11.0,7.5,0.06324110671936758,0.1746031746031746,0.0,0.0,0.06666666666222222,0.9333333332711111,0.0,0.9090909090082645,3.056564762130954,2.550340709546388,0.0,3.1219280948873624,3.169925001442312,3.6644977792004614,1.499999999625,2.0,0.0,0.6363636363057851,1.0,0.0,4.0,0.0,0.0,0.0,0.0
20.0,17.0,0.0,2.0,17.0,9.5,0.07905138339920949,0.2698412698412698,0.0,0.0,0.052631578944598335,0.9473684210027701,0.0,0.941176470532872,3.4263674884732267,3.1692486956952326,0.0,4.0,3.906890595608519,4.169925001442312,0.999999999875,2.0,0.0,0.6470588234913495,1.0,0.0,2.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.30769230766863903,0.0,0.0,0.6923076922544379,0.39999999996,0.59999999994,3.3927474104487847,3.3219280948873626,0.0,3.169925001442312,3.0,3.584962500721156,0.499999999875,2.0,0.0,0.9999999999,1.0,0.0,3.0,0.0,0.0,1.0,0.2857142856938775
11.0,8.0,0.0,2.0,8.0,5.0,0.043478260869565216,0.12698412698412698,0.0,0.0,0.0,0.9999999999,0.0,0.999999999875,3.1219280948873624,2.75,0.0,2.8073549220576037,2.584962500721156,3.169925001442312,0.59999999988,2.0,0.0,0.874999999890625,1.0,0.0,2.0,0.0,0.0,0.0,0.0
